Brew_ID,Name,City,State,
21,Bare Hands Brewery,Granger, IN,1
252,Barrio Brewing Company,Tucson, AZ,1
117,Base Camp Brewing Co.,Portland, OR,1
259,Bauhaus Brew Labs,Minneapolis, MN,1
293,Baxter Brewing Company,Lewiston, ME,1
307,Beach Brewing Company,Virginia Beach, VA,1
104,Beer Works Brewery,Lowell, MA,1
77,Bell's Brewery,Kalamazoo, MI,1
54,Bent Brewstillery,Roseville, MN,1
76,Bent Paddle Brewing Company,Duluth, MN,1
279,Berkshire Brewing Company,South Deerfield, MA,1
464,Big Bend Brewing Company,Alpine, TX,1
221,Big Choice Brewing,Broomfield, CO,1
478,Big Elm Brewing,Sheffield, MA,1
9,Big Lake Brewing,Holland, MI,1
41,Big Muddy Brewing,Murphysboro, IL,1
520,Big River Brewing Company,Chattanooga, TN,1
337,Big Sky Brewing Company,Missoula, MT,1
222,Big Storm Brewing Company,Odessa, FL,1
445,Big Wood Brewery,Vadnais Heights, MN,1
71,Birdsong Brewing Company,Charlotte, NC,1
408,Bitter Root Brewing,Hamilton, MT,1
19,Black Acre Brewing Co.,Indianapolis, IN,1
113,Black Market Brewing Company,Temecula, CA,1
295,Black Shirt Brewing Company,Denver, CO,1
80,Black Tooth Brewing Company,Sheridan, WY,1
381,Blue Blood Brewing Company,Lincoln, NE,1
423,Blue Dog Mead,Eugene, OR,1
305,Blue Hills Brewery,Canton, MA,1
78,Blue Owl Brewing,Austin, TX,1
490,Blue Point Brewing Company,Patchogue, NY,1
365,Bohemian Brewery,Midvale, UT,1
379,Bold City Brewery,Jacksonville, FL,1
282,Bolero Snort Brewery,Ridgefield Park, NJ,1
526,Bomb Beer Company,New York, NY,1
108,Bonfire Brewing Company,Eagle, CO,1
232,Borderlands Brewing Company,Tucson, AZ,1
301,Boston Beer Company,Boston, MA,1
418,Boulder Beer Company,Boulder, CO,1
32,Boulevard Brewing Company,Kansas City, MO,1
168,Boxcar Brewing Company,West Chester, PA,1
220,Bozeman Brewing Company,Bozeman, MT,1
208,Branchline Brewing Company,San Antonio, TX,1
196,Breakside Brewery,Portland, OR,1
392,Breckenridge Brewery,Denver, CO,1
309,Brew Bus Brewing,Tampa, FL,1
20,Brew Link Brewing,Plainfield, IN,1
86,Brewery Terra Firma,Traverse City, MI,1
11,Brewery Vivant,Grand Rapids, MI,1
468,Brindle Dog Brewing Company,Tampa Bay, FL,1
90,Broad Brook Brewing LLC,East Windsor, CT,1
494,Broken Tooth Brewing Company,Anchorage, AK,1
438,Brooklyn Brewery,Brooklyn, NY,1
531,Buckbean Brewing Company,Reno, NV,1
358,Buckeye Brewing,Cleveland, OH,1
57,BuckleDown Brewing,Lyons, IL,1
215,Buffalo Bayou Brewing Company,Houston, TX,1
25,Burn 'Em Brewing,Michigan City, IN,1
198,Burnside Brewing Co.,Portland, OR,1
518,Butcher's Brewing,Carlsbad, CA,1
557,Butternuts Beer and Ale,Garrattsville, NY,1
156,Caldera Brewing Company,Ashland, OR,1
179,Cambridge Brewing Company,Cambridge, MA,1
498,Cans Bar and Canteen,Charlotte, NC,1
231,Cape Ann Brewing Company,Gloucester, MA,1
268,Cape Cod Beer,Hyannis, MA,1
193,Capital Brewery,Middleton, WI,1
505,Carolina Beer & Beverage,Mooresville, NC,1
180,Carolina Brewery,Pittsboro, NC,1
223,Carton Brewing Company,Atlantic Highlands, NJ,1
405,Cascadia Ciderworks United,Portland, OR,1
332,Catawba Brewing Company,Morganton, NC,1
286,Catawba Island Brewing,Port Clinton, OH,1
97,Catawba Valley Brewing Company,Morganton, NC,1
30,Cedar Creek Brewery,Seven Points, TX,1
453,Centennial Beer Company,Edwards, CO,1
123,Center of the Universe Brewing C...,Ashland, VA,1
351,Central Coast Brewing Company,San Luis Obispo, CA,1
237,Champion Brewing Company,Charlottesville, VA,1
251,Chapman's Brewing,Angola, IN,1
227,Chatham Brewing,Chatham, NY,1
122,Cheboygan Brewing Company,Cheboygan, MI,1
100,Christian Moerlein Brewing Company,Cincinnati, OH,1
527,Churchkey Can Company,Seattle, WA,1
426,Ciderboys,Stevens Point, WI,1
142,Cigar City Brewing Company,Tampa, FL,1
146,Cisco Brewers,Nantucket, MA,1
321,Claremont Craft Ales,Claremont, CA,1
419,Coalition Brewing Company,Portland, OR,1
6,COAST Brewing Company,Charleston, SC,1
416,Coastal Empire Beer Company,Savannah, GA,1
102,Coastal Extreme Brewing Company,Newport, RI,1
233,College Street Brewhouse and Pub,Lake Havasu City, AZ,1
483,Confluence Brewing Company,Des Moines, IA,1
183,COOP Ale Works,Oklahoma City, OK,1
140,Core Brewing & Distilling Company,Springdale, AR,1
513,Cottrell Brewing,Pawcatuck, CT,1
554,Covington Brewhouse,Covington, LA,1
516,Crabtree Brewing Company,Greeley, CO,1
64,Crazy Mountain Brewing Company,Edwards, CO,1
248,Creature Comforts,Athens, GA,1
170,Crooked Fence Brewing Company,Garden City, ID,1
213,Crow Peak Brewing Company,Spearfish, SD,1
473,Crystal Springs Brewing Company,Boulder, CO,1
316,Cutters Brewing Company,Avon, IN,1
324,D.L. Geary Brewing Company,Portland, ME,1
452,Dad & Dude's Breweria,Aurora, CO,1
359,Daredevil Brewing Company,Shelbyville, IN,1
555,Dave's Brewfarm,Wilson, WI,1
334,David's Ale Works,Diamond Springs, CA,1
228,DC Brau Brewing Company,Washington, DC,1
